1.00,2.00,3.00,4.00
0.10,0.00,0.00,0.00
0.12,"9,951.00","19,901.00","14,201.00"
0.22,"40,526.00","81,051.00","54,201.00"
0.24,"86,376.00","172,751.00","86,351.00"
0.32,"164,926.00","329,851.00","164,901.00"
0.35,"209,426.00","418,851.00","209,401.00"
0.37,"523,601.00","628,301.00","523,601.00"
